Features,Variance Averange(on pictures),Variance
1,0.991876996693,1.11141905645
2,1.2971092865,2.12781350466
3,1.78703964249,4.40542986974
4,2.27896682188,5.78922425373
5,2.53555687646,6.10500047973
6,2.65512189106,5.61677022298
7,2.6582950658,5.31110238577
8,2.71527390755,5.41765241513
9,2.81510796969,5.54234817903
10,2.83960445755,5.45628946653
11,2.88180642179,5.46254780562
12,2.94515903845,5.50923988547
13,2.9222045988,5.48615953796
14,2.92772052472,5.51614744017
15,2.93887435757,5.55732330439
16,2.92213732102,5.57215756577
17,2.90642115477,5.59092505883
18,2.86529214235,5.54552387733
19,2.85570685807,5.43960378019
20,2.79042548063,5.40404941764
21,2.71317550743,5.26333978198
22,2.64563438445,5.09819907306
23,2.57882178301,4.93262314216
24,2.49073705061,4.8128571867
25,2.45804040898,4.79204980469
26,2.44567947293,5.07734002763
27,2.29985394228,5.55276331621
28,1.99938577357,5.48283465117
29,1.47976315152,3.86797431381
30,1.11959815781,1.82934290991
31,0.991965989596,1.10331720139
32,1.25641193283,1.70513072877
33,1.78333622397,4.22249599357
34,1.95746525423,5.56645390889
35,2.37980704314,5.70444722398
36,2.67900559542,6.22851143973
37,2.80280927113,7.07367413138
38,3.07048248621,7.11059299022
39,2.92274247981,6.7149885965
40,2.87063474783,6.14317766219
41,2.79553281335,5.88273319379
42,2.81978388327,5.87014855317
43,2.83637589945,5.96155434856
44,2.91824194289,6.12030926156
45,2.92797012062,6.20453968944
46,3.00093471113,6.02818234266
47,2.97476610936,5.84341319543
48,3.03175870528,6.03024339479
49,3.08590393637,6.34625054517
50,3.07803908555,6.44331081295
51,3.04409075743,6.22997904639
52,2.9103486356,5.81741791891
53,2.78268942351,5.56733704929
54,2.65698365887,5.45798550317
55,2.52630274835,5.61206995239
56,2.30476170306,6.0765670475
57,1.9587532101,5.79601706452
58,1.71936475928,3.99614832557
59,1.23603104011,1.75060045383
60,0.990511224968,1.10284075708
